Name: 吉林卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.240:8172, Date: None, Resolution: None, Response Time: 574ms
Name: 南方卫视, URL: http://123.117.165.88:8118/rtp/239.3.1.161:8001, Date: None, Resolution: None, Response Time: 502ms
Name: 南方卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.161:8001, Date: None, Resolution: None, Response Time: 544ms
Name: 南方卫视, URL: http://114.254.95.25:2222/rtp/239.3.1.161:8001, Date: None, Resolution: None, Response Time: 551ms
Name: 南方卫视, URL: http://drive.mxmy.net:8888/rtp/239.3.1.161:8001, Date: None, Resolution: None, Response Time: 581ms
Name: 广西卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.39:8300, Date: None, Resolution: None, Response Time: 544ms
Name: 广西卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.39:8300, Date: None, Resolution: None, Response Time: 546ms
Name: 广西卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.39:8300, Date: None, Resolution: None, Response Time: 577ms
Name: 海南卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.45:8304, Date: None, Resolution: None, Response Time: 542ms
Name: 海南卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.45:8304, Date: None, Resolution: None, Response Time: 548ms
Name: 海南卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.45:8304, Date: None, Resolution: None, Response Time: 583ms
Name: 海南卫视, URL: https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000, Date: 03-21-2023, Resolution: None, Response Time: 1150ms
Name: 厦门卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.143:4120, Date: None, Resolution: None, Response Time: 544ms
Name: 厦门卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.143:4120, Date: None, Resolution: None, Response Time: 545ms
Name: 厦门卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.143:4120, Date: None, Resolution: None, Response Time: 572ms
Name: 云南卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.26:8108, Date: None, Resolution: None, Response Time: 544ms
Name: 云南卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.26:8108, Date: None, Resolution: None, Response Time: 545ms
Name: 云南卫视, URL: http://114.254.95.25:2222/rtp/239.3.1.26:8108, Date: None, Resolution: None, Response Time: 553ms
Name: 西藏卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.47:8164, Date: None, Resolution: None, Response Time: 544ms
Name: 西藏卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.47:8164, Date: None, Resolution: None, Response Time: 547ms
Name: 西藏卫视, URL: http://114.254.95.25:2222/rtp/239.3.1.47:8164, Date: None, Resolution: None, Response Time: 552ms
Name: 四川卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.29:8288, Date: None, Resolution: None, Response Time: 544ms
Name: 四川卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.29:8288, Date: None, Resolution: None, Response Time: 546ms
Name: 四川卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.29:8288, Date: None, Resolution: None, Response Time: 576ms
Name: 河南卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.27:8128, Date: None, Resolution: None, Response Time: 543ms
Name: 河南卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.27:8128, Date: None, Resolution: None, Response Time: 545ms
Name: 河南卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.27:8128, Date: None, Resolution: None, Response Time: 578ms
Name: 陕西卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.41:8140, Date: None, Resolution: None, Response Time: 545ms
Name: 陕西卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.41:8140, Date: None, Resolution: None, Response Time: 545ms
Name: 陕西卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.41:8140, Date: None, Resolution: None, Response Time: 581ms
Name: 新疆卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.48:8160, Date: None, Resolution: None, Response Time: 544ms
Name: 新疆卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.48:8160, Date: None, Resolution: None, Response Time: 546ms
Name: 新疆卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.48:8160, Date: None, Resolution: None, Response Time: 584ms
